CompanyName;Participation;Certification.Date;Certification.Due.Date;Type
Intraboom, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-25;2018-05-25;NON-HR
INTRALINKS, INC;EU-U.S. Privacy Shield Framework;2016-10-25;2017-10-25;HR, NON-HR
Intrepid Learning, Inc.;EU-U.S. Privacy Shield Framework;2016-08-25;2017-08-25;NON-HR
Introhive Inc.;EU-U.S. Privacy Shield Framework;2016-10-27;2017-10-27;NON-HR
Intuit;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;HR, NON-HR
Invacare Corporation;EU-U.S. Privacy Shield Framework;2017-01-05;2018-01-05;HR, NON-HR
Invaluable, LLC;EU-U.S. Privacy Shield Framework;2017-03-23;2018-03-23;NON-HR
Investopedia LLC;Swiss-U.S. Privacy Shield Framework;2017-05-18;2017-10-20;NON-HR
Investopedia LLC;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;NON-HR
Invivoscribe Technologies;EU-U.S. Privacy Shield Framework;2017-05-07;2018-05-07;HR, NON-HR
Invoca, Inc.;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
iOffer, Inc.;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
Ionic Security Inc.;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
IPsoft;Swiss-U.S. Privacy Shield Framework;2017-05-19;2017-09-27;HR, NON-HR
IPsoft;EU-U.S. Privacy Shield Framework;2016-09-27;2017-09-27;HR, NON-HR
iQ Media Group Inc.;EU-U.S. Privacy Shield Framework;2017-02-06;2018-02-06;NON-HR
IQNavigator, Inc.;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;NON-HR
Irdeto USA, Inc.;EU-U.S. Privacy Shield Framework;2016-12-28;2017-12-28;NON-HR
Iron Mountain;Swiss-U.S. Privacy Shield Framework;2017-05-15;2017-12-07;HR, NON-HR
Iron Mountain;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;HR, NON-HR
ISN Software Corporation;EU-U.S. Privacy Shield Framework;2016-12-02;2017-12-02;NON-HR
ISO Claims Partners, Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
ISO Claims Services, Inc.;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;NON-HR
Isomics, Inc.;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;HR, NON-HR
Isomics, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-12;2017-08-24;NON-HR
ITAP Americas Inc.;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;NON-HR
Itemize corp;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;NON-HR
Iterable, Inc.;EU-U.S. Privacy Shield Framework;2016-12-29;2017-12-29;NON-HR
ITN International, Inc.;EU-U.S. Privacy Shield Framework;2016-10-25;2017-10-25;NON-HR
Itron, Inc.;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;HR, NON-HR
ITT Inc.;EU-U.S. Privacy Shield Framework;2016-10-28;2017-10-28;HR, NON-HR
J. Crew Group, Inc.;EU-U.S. Privacy Shield Framework;2017-04-06;2018-04-06;HR, NON-HR
J. Spargo and Associates, Inc.;EU-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;NON-HR
J. Spargo and Associates, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;NON-HR
Jacobson Consulting Applications, Inc.;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
Jagged Peak, Inc.;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;NON-HR
Jama Software;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;HR, NON-HR
JAMF Software, LLC;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;HR, NON-HR
JAMS;Swiss-U.S. Privacy Shield Framework;2017-05-16;2018-05-16;HR, NON-HR
JAMS;EU-U.S. Privacy Shield Framework;2016-11-07;2018-05-16;HR, NON-HR
Janrain, Inc.;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;NON-HR
Javelin Direct;EU-U.S. Privacy Shield Framework;2016-10-27;2017-10-27;NON-HR
Jazz Pharmaceuticals Inc.;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;HR, NON-HR
JCAP Holdings, LLC;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
Jellyfish Online Marketing US Ltd.;EU-U.S. Privacy Shield Framework;2017-03-10;2018-03-10;NON-HR
Jibe, Inc.;EU-U.S. Privacy Shield Framework;2016-10-18;2017-10-18;NON-HR
Jiff, Inc.;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;NON-HR
Jive Software, Inc.;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
JMM Software Labs, Inc.;EU-U.S. Privacy Shield Framework;2017-02-23;2018-02-23;NON-HR
JobScore, Inc.;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;HR, NON-HR
Jobvite;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Journyx, Inc.;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;NON-HR
JRock Consulting;EU-U.S. Privacy Shield Framework;2017-01-09;2018-01-09;NON-HR
JTC Technologies, LLC;EU-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;HR, NON-HR
July Systems, Inc.;EU-U.S. Privacy Shield Framework;2017-03-30;2018-03-30;NON-HR
Juridiko Corporation;Swiss-U.S. Privacy Shield Framework;2017-05-16;2017-11-30;NON-HR
Juridiko Corporation;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;NON-HR
Justifacts Credential Verification, Inc;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;HR, NON-HR
K2 Sports (K-2 Corporation).;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;HR
Kahua;Swiss-U.S. Privacy Shield Framework;2017-05-11;2018-03-08;NON-HR
Kahua;EU-U.S. Privacy Shield Framework;2017-03-08;2018-03-08;NON-HR
Kahuna, Inc;EU-U.S. Privacy Shield Framework;2016-11-10;2017-11-10;NON-HR
Kaltura, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;HR, NON-HR
Kanjoya;EU-U.S. Privacy Shield Framework;2016-09-23;2017-09-23;HR, NON-HR
Karcher North America;EU-U.S. Privacy Shield Framework;2016-12-29;2017-12-29;HR
Karyopharm Therapeutics Inc.;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;HR, NON-HR
Keeper Security, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-28;2017-11-17;NON-HR
Keeper Security, Inc.;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;NON-HR
Keller Williams Realty, Inc.;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;NON-HR
Kelly Services, Inc;Swiss-U.S. Privacy Shield Framework;2017-05-04;2017-11-22;HR, NON-HR
Kelly Services, Inc;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;HR, NON-HR
Kenshoo;EU-U.S. Privacy Shield Framework;2017-02-15;2018-02-15;NON-HR
Kibo;EU-U.S. Privacy Shield Framework;2016-10-18;2017-10-18;HR, NON-HR
Kickbox, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;HR, NON-HR
Kid & Coe;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
Kimball Electronics;EU-U.S. Privacy Shield Framework;2016-11-01;2017-11-01;HR
Kinetica DB, Inc.;EU-U.S. Privacy Shield Framework;2017-03-13;2018-03-13;NON-HR
Kingland Systems Corporation;EU-U.S. Privacy Shield Framework;2016-08-31;2017-08-31;HR, NON-HR
Kingsley Associates;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-09-13;NON-HR
Kingsley Associates;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
Kingston Technology Company, Inc.;EU-U.S. Privacy Shield Framework;2016-10-28;2017-10-28;NON-HR
Kiran Analytics, Inc.;EU-U.S. Privacy Shield Framework;2016-09-23;2017-09-23;HR
Knowledge Factor Inc.;EU-U.S. Privacy Shield Framework;2016-10-28;2017-10-28;NON-HR
KnowledgeTree;EU-U.S. Privacy Shield Framework;2016-12-15;2017-12-15;NON-HR
Koble Inc.;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Kobre & Kim;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;HR, NON-HR
Kochava Inc.;EU-U.S. Privacy Shield Framework;2017-02-17;2018-02-17;NON-HR
Kodak Alaris;EU-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;HR, NON-HR
Kognitio Inc.;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;NON-HR
Kollective Technology, Inc.;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
Koneksa Health;EU-U.S. Privacy Shield Framework;2017-05-25;2018-05-25;NON-HR
Kount Inc;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;NON-HR
KPMG LLP;Swiss-U.S. Privacy Shield Framework;2017-04-17;2017-11-16;NON-HR
KPMG LLP;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;HR, NON-HR
Kratos Defense & Security Solutions, Inc.;EU-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;HR
Kreller Group Inc;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-10-18;NON-HR
Kreller Group Inc;EU-U.S. Privacy Shield Framework;2016-10-18;2017-10-18;NON-HR
KrolLDiscovery;EU-U.S. Privacy Shield Framework;2016-09-12;2017-09-12;NON-HR
Kronos Incorporated;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;HR
Krux Digital Inc.;EU-U.S. Privacy Shield Framework;2016-09-02;2017-09-02;NON-HR
Kumu Inc.;EU-U.S. Privacy Shield Framework;2017-05-16;2018-05-16;NON-HR
Kumu Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-16;2018-05-16;NON-HR
Kurtosys Systems Inc;EU-U.S. Privacy Shield Framework;2017-01-25;2018-01-25;HR, NON-HR
Labnook Inc;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
Laird Technologies, Inc;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;HR
Landmark Worldwide LLC;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
Language Line Services, Inc.;EU-U.S. Privacy Shield Framework;2017-03-08;2018-03-08;HR
Laserbeam Software;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;HR
Latitude Labs, LLC;EU-U.S. Privacy Shield Framework;2016-08-25;2017-08-25;NON-HR
Lattice Engines;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
Laundry Locker;EU-U.S. Privacy Shield Framework;2017-03-21;2018-03-21;NON-HR
Layer, Inc;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;NON-HR
LeadGnome;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;NON-HR
Leading Indicator Systems;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
Leadspace Inc;EU-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;NON-HR
Leadwire, Inc;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;NON-HR
Leaf Group Ltd.;EU-U.S. Privacy Shield Framework;2017-02-23;2018-02-23;HR, NON-HR
Leanplum, Inc.;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;NON-HR
Leanplum, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-24;2017-08-24;NON-HR
Learning Machine;EU-U.S. Privacy Shield Framework;2016-12-14;2017-12-14;NON-HR
LearningBridge;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;HR, NON-HR
LeaseAccelerator Services;EU-U.S. Privacy Shield Framework;2017-04-27;2018-04-27;NON-HR
LeaseTeam, Inc.;EU-U.S. Privacy Shield Framework;2016-08-22;2017-08-22;NON-HR
Lecorpio;EU-U.S. Privacy Shield Framework;2017-03-07;2018-03-07;HR
LectureLinx, Inc.;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;NON-HR
Lee Hecht Harrison LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-11-15;HR, NON-HR
Lee Hecht Harrison LLC;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;HR, NON-HR
LegalUP;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
LegalZoom;EU-U.S. Privacy Shield Framework;2017-03-06;2018-03-06;NON-HR
Leggett & Platt, Incorporated;Swiss-U.S. Privacy Shield Framework;2017-05-01;2018-01-10;HR, NON-HR
Leggett & Platt, Incorporated;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;HR, NON-HR
Lending Stream LLC;EU-U.S. Privacy Shield Framework;2016-11-01;2017-11-01;NON-HR
Less Annoying CRM;Swiss-U.S. Privacy Shield Framework;2017-04-26;2017-09-26;NON-HR
Less Annoying CRM;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;NON-HR
Lessonly;EU-U.S. Privacy Shield Framework;2016-12-19;2017-12-19;HR, NON-HR
Levi, Ray & Shoup, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;HR, NON-HR
Lexia Learning Systems LLC;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
Lexicon Relocation, LLC;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;HR, NON-HR
LI-COR, Inc;EU-U.S. Privacy Shield Framework;2016-10-25;2017-10-25;HR, NON-HR
Liaison Technologies;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR, NON-HR
Lidl US, LLC;EU-U.S. Privacy Shield Framework;2017-05-19;2018-05-19;HR
Lieberman Research Worldwide, LLC;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
Liferay, Inc.;EU-U.S. Privacy Shield Framework;2017-01-05;2018-01-05;HR, NON-HR
Lifesize;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;NON-HR
Lift Brands, Inc.;EU-U.S. Privacy Shield Framework;2016-09-16;2017-09-16;HR, NON-HR
Liftoff Mobile, Inc.;EU-U.S. Privacy Shield Framework;2017-03-15;2018-03-15;NON-HR
Liftopia;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;HR, NON-HR
Lighthouse Document Technologies, Inc.;EU-U.S. Privacy Shield Framework;2017-02-27;2018-02-27;HR, NON-HR
Lighthouse Services, Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR
Lightspeed Systems;EU-U.S. Privacy Shield Framework;2016-09-15;2017-09-15;NON-HR
Linguamatics Solutions Inc.;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;HR
Linkfire Inc.;EU-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;NON-HR
Livegenic Inc;EU-U.S. Privacy Shield Framework;2017-03-21;2018-03-21;NON-HR
LivePerson, Inc.;EU-U.S. Privacy Shield Framework;2016-12-12;2017-12-12;NON-HR
Lockheed Martin Corporation;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;HR
LockPath, Inc.;EU-U.S. Privacy Shield Framework;2016-09-15;2017-09-15;NON-HR
Logicalis Inc;Swiss-U.S. Privacy Shield Framework;2017-05-23;2017-11-08;HR, NON-HR
Logicalis Inc;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;HR, NON-HR
LogRhythm, Inc.;EU-U.S. Privacy Shield Framework;2017-03-07;2018-03-07;HR, NON-HR
Lone Star Global Acquisitions, LLC;EU-U.S. Privacy Shield Framework;2016-12-16;2017-12-16;HR, NON-HR
LongTail Ad Solutions, Inc., dba JW Player;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-10-03;NON-HR
LongTail Ad Solutions, Inc., dba JW Player;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
Lookbooks Media, Inc.;EU-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;NON-HR
Lookout Inc.;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;HR, NON-HR
Loop Works;EU-U.S. Privacy Shield Framework;2016-12-27;2017-12-27;NON-HR
Lotame Solutions, Inc.;EU-U.S. Privacy Shield Framework;2016-09-29;2017-09-29;NON-HR
LRN Corporation;EU-U.S. Privacy Shield Framework;2016-10-07;2017-10-07;NON-HR
LSC Communications;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;HR, NON-HR
Lucidity Research, LLC;EU-U.S. Privacy Shield Framework;2016-08-29;2017-08-29;NON-HR
Lucidity Research, LLC;Swiss-U.S. Privacy Shield Framework;2017-05-03;2017-08-29;NON-HR
Lume;EU-U.S. Privacy Shield Framework;2016-10-19;2017-10-19;NON-HR
Lumen21, Inc.;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR, NON-HR
Lumos Labs, Inc.;EU-U.S. Privacy Shield Framework;2016-10-26;2017-10-26;NON-HR
Lux Scientiae, Incorporated;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Lytics;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
M2 Payment Solutions Inc;EU-U.S. Privacy Shield Framework;2017-04-19;2018-05-09;NON-HR
M2 Payment Solutions Inc;Swiss-U.S. Privacy Shield Framework;2017-04-19;2018-05-09;NON-HR
M3 USA;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Machina;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;NON-HR
Magnifi Group;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;NON-HR
Mail2World;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;NON-HR
Mailgun LLC;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
Makesbridge;EU-U.S. Privacy Shield Framework;2016-09-28;2017-09-28;NON-HR
Makrocare;EU-U.S. Privacy Shield Framework;2017-02-23;2018-02-23;NON-HR
Malwarebytes Inc.;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
Managed.com;EU-U.S. Privacy Shield Framework;2017-03-14;2018-03-14;NON-HR
Management Controls, Inc.;EU-U.S. Privacy Shield Framework;2016-09-16;2017-09-16;NON-HR
Management Mentors, Inc.;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;NON-HR
Mango Technologies, Inc.;EU-U.S. Privacy Shield Framework;2017-02-01;2018-02-01;NON-HR
Manzama;EU-U.S. Privacy Shield Framework;2017-04-27;2018-04-27;NON-HR
Mapbox, Inc.;EU-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;HR, NON-HR
Mapbox, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;NON-HR
Mapi USA, Inc.;EU-U.S. Privacy Shield Framework;2017-03-20;2018-03-20;HR, NON-HR
Marchex, Inc.;EU-U.S. Privacy Shield Framework;2016-10-07;2017-10-07;NON-HR
Marden-Kane Inc;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Marden-Kane Inc;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-08-12;NON-HR
Maritz Holdings Inc.;EU-U.S. Privacy Shield Framework;2017-03-07;2018-03-07;HR, NON-HR
MaritzCX Holdings LLC;EU-U.S. Privacy Shield Framework;2017-03-09;2018-03-09;HR, NON-HR
Mark Business Intelligence Systems LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2018-04-18;NON-HR
Mark Business Intelligence Systems LLC;EU-U.S. Privacy Shield Framework;2016-11-07;2018-04-18;NON-HR
Market Certitude, L.L.C.;Swiss-U.S. Privacy Shield Framework;2017-04-28;2017-10-12;NON-HR
Market Certitude, L.L.C.;EU-U.S. Privacy Shield Framework;2016-09-23;2017-10-12;NON-HR
Market Force Information Inc;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;HR, NON-HR
Market Strategies International;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;NON-HR
Marketing Engines Inc;EU-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;NON-HR
Marketo, Inc.;EU-U.S. Privacy Shield Framework;2016-09-27;2017-09-27;HR, NON-HR
MarketStar Corporation;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
MarketVision Research;EU-U.S. Privacy Shield Framework;2016-08-30;2017-08-30;NON-HR
Markit North America Inc. and all of its US based subsidiaries under the Markit,;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;HR, NON-HR
Mary Kay Inc.;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;HR, NON-HR
Maseke, Inc.;EU-U.S. Privacy Shield Framework;2016-10-18;2017-10-18;HR
Masimo Corporation;EU-U.S. Privacy Shield Framework;2016-12-05;2017-12-05;HR, NON-HR
Mather Economics;EU-U.S. Privacy Shield Framework;2017-03-15;2018-03-15;HR, NON-HR
MaxMind, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2017-12-27;NON-HR
MaxMind, Inc.;EU-U.S. Privacy Shield Framework;2016-12-27;2017-12-27;NON-HR
McDonnell Boehnen Hulbert & Berghoff LLP;EU-U.S. Privacy Shield Framework;2017-02-01;2018-02-01;HR, NON-HR
McKesson Corporation;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;HR, NON-HR
McKesson Technologies, Inc.;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;NON-HR
MDDX, LLC;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
MDSL;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;HR, NON-HR
Measurabl;EU-U.S. Privacy Shield Framework;2016-12-22;2017-12-22;NON-HR
MedAvante, Inc.;EU-U.S. Privacy Shield Framework;2016-10-19;2017-10-19;HR, NON-HR
MedCare International Inc;EU-U.S. Privacy Shield Framework;2016-09-21;2017-09-21;NON-HR
Medelis, Inc.;EU-U.S. Privacy Shield Framework;2017-04-10;2018-04-10;NON-HR
Medgate America Corp.;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;HR
MediaMath, Inc.;EU-U.S. Privacy Shield Framework;2016-10-17;2017-10-17;NON-HR
Medidata Solutions, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-10;2017-11-01;HR, NON-HR
Medidata Solutions, Inc.;EU-U.S. Privacy Shield Framework;2016-11-01;2017-11-01;HR, NON-HR
MediGuide Insurance Services International LLC;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
MediGuide Insurance Services International LLC;Swiss-U.S. Privacy Shield Framework;2017-05-07;2017-08-12;NON-HR
MediGuide International LLC;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
MediGuide International LLC;Swiss-U.S. Privacy Shield Framework;2017-04-21;2017-08-12;NON-HR
Mediprocity Inc.;EU-U.S. Privacy Shield Framework;2017-05-25;2018-05-25;HR, NON-HR
MEDITERRANEAN WELLNESS, LLC;EU-U.S. Privacy Shield Framework;2017-02-21;2018-02-21;NON-HR
Medmeme LLC;EU-U.S. Privacy Shield Framework;2017-02-06;2018-02-06;NON-HR
MedNet Solutions, INC;Swiss-U.S. Privacy Shield Framework;2017-04-27;2018-04-27;NON-HR
MedNet Solutions, INC;EU-U.S. Privacy Shield Framework;2017-04-27;2018-04-27;NON-HR
Medpace, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-21;2017-10-14;HR
Medpace, Inc.;EU-U.S. Privacy Shield Framework;2016-10-14;2017-10-14;HR, NON-HR
MedPro Systems LLC;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
Medrio, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Medrio, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-19;2017-08-12;NON-HR
Medtep Inc.;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;HR, NON-HR
MedTrak, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Meeting Technology Group, Inc.;EU-U.S. Privacy Shield Framework;2017-05-04;2018-05-04;NON-HR
Meetings & Incentives Worldwide, Inc.;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;HR, NON-HR
Meissner Filtration Products, Inc.;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;NON-HR
Mentor Graphics Corporation;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;HR, NON-HR
MentorcliQ, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2018-09-08;NON-HR
MentorcliQ, Inc.;EU-U.S. Privacy Shield Framework;2016-09-08;2017-09-08;NON-HR
Merck & Co., Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;HR, NON-HR
Merge eClinical;EU-U.S. Privacy Shield Framework;2017-05-01;2018-05-01;NON-HR
Merge Healthcare Solutions Incorporated;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;NON-HR
Meritor, Inc.;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;HR, NON-HR
Merrill Corporation;EU-U.S. Privacy Shield Framework;2016-12-12;2017-12-12;HR, NON-HR
Message Systems, Inc. (dba SparkPost);EU-U.S. Privacy Shield Framework;2016-09-01;2017-09-01;NON-HR
MessageOne, Inc.;EU-U.S. Privacy Shield Framework;2017-03-15;2018-03-15;HR, NON-HR
Meta SaaS, Inc.;EU-U.S. Privacy Shield Framework;2017-03-08;2018-03-08;HR, NON-HR
Metricstream, Inc.;EU-U.S. Privacy Shield Framework;2017-03-23;2018-03-23;HR, NON-HR
Metrus Group, Inc.;EU-U.S. Privacy Shield Framework;2017-05-02;2018-05-02;HR
mGage LLC;EU-U.S. Privacy Shield Framework;2017-05-18;2018-05-18;HR, NON-HR
Micron Technology, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;HR, NON-HR
Microsoft Corporation;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;HR, NON-HR
Microsoft Corporation;Swiss-U.S. Privacy Shield Framework;2017-05-05;2017-08-12;HR, NON-HR
MicroStrategy Incorporated;EU-U.S. Privacy Shield Framework;2017-02-21;2018-02-21;NON-HR
Microsystems;Swiss-U.S. Privacy Shield Framework;2017-05-17;2017-11-18;NON-HR
Microsystems;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
Milliman, Inc.;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;HR, NON-HR
Millisecond Software, LLC;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;NON-HR
Mind Your Business, Inc.;EU-U.S. Privacy Shield Framework;2017-05-05;2018-05-05;HR, NON-HR
Mind Your Business, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-05;2018-05-05;HR, NON-HR
MINDBODY, Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR, NON-HR
MindMatters Technologies, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-22;2018-05-22;NON-HR
MindMatters Technologies, Inc.;EU-U.S. Privacy Shield Framework;2016-12-15;2018-05-22;NON-HR
MindTouch;EU-U.S. Privacy Shield Framework;2016-10-19;2017-10-19;NON-HR
MIR3 An ECN Company;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;NON-HR
MissionMode Solutions, Inc;EU-U.S. Privacy Shield Framework;2017-02-08;2018-02-08;HR
MiTek Industries, Inc.;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;HR, NON-HR
Mixpanel, Inc.;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
